series_key,dataset,index,series,type,period,n,h,actual
M1:50,M1,50,YAB5,yearly,1,17,6,"[9994.97, 10889.0, 12105.0, 11969.0, 9497.98, 12110.0]"
M1:182,M1,182,QRF1,quarterly,4,40,8,"[0.72, 0.94, 1.14, 1.03, 3.09, 4.11, 5.1, 4.3]"
M1:183,M1,183,QRF2,quarterly,4,60,8,"[109.0, 110.0, 123.0, 118.0, 147.0, 160.0, 201.0, 214.0]"
M1:184,M1,184,QRM1,quarterly,4,48,8,"[191.0, 288.0, 289.0, 214.0, 153.0, 323.0, 330.0, 318.0]"
M1:185,M1,185,QNF1,quarterly,4,101,8,"[36465.9, 27207.9, 36602.0, 40931.4, 43695.3, 35105.7, 41235.1, 46557.6]"
M1:186,M1,186,QNF2,quarterly,4,33,8,"[691346.0, 745667.0, 722636.0, 701800.0, 741918.0, 791015.0, 772214.0, 818797.0]"
M1:187,M1,187,QNF3,quarterly,4,34,8,"[521.386, 581.109, 619.826, 564.637, 656.687, 701.198, 740.835, 663.858]"
M1:188,M1,188,QNM1,quarterly,4,13,8,"[49.3, 26.7, 16.8, 23.0, 48.2, 42.5, 30.7, 26.8]"
M1:189,M1,189,QNM2,quarterly,4,50,8,"[156.149, 172.805, 169.682, 167.6, 182.174, 182.174, 140.534, 166.559]"
M1:190,M1,190,QNM3,quarterly,4,35,8,"[3203.0, 2098.0, 1015.0, 3712.0, 4139.0, 2957.0, 3253.0, 2742.0]"
M1:191,M1,191,QNM4,quarterly,4,52,8,"[13819.0, 15038.0, 15518.0, 12623.0, 10887.0, 9766.0, 8861.0, 11380.0]"
M1:192,M1,192,QNM5,quarterly,4,50,8,"[150.0, 166.0, 163.0, 161.0, 175.0, 175.0, 135.0, 160.0]"
M1:193,M1,193,QNM6,quarterly,4,20,8,"[333.0, 366.0, 278.0, 320.0, 331.0, 330.0, 227.0, 319.0]"
M1:194,M1,194,QNM7,quarterly,4,60,8,"[475.0, 512.0, 610.0, 639.0, 613.0, 678.0, 795.0, 844.0]"
M1:195,M1,195,QNM8,quarterly,4,33,8,"[29154.0, 29058.0, 28628.0, 26204.0, 28345.0, 29285.0, 26278.0, 28641.0]"
M1:196,M1,196,QNM9,quarterly,4,34,8,"[131782.0, 121252.0, 143642.0, 128780.0, 136479.0, 135168.0, 122733.0, 144710.0]"
M1:197,M1,197,QNM10,quarterly,4,34,8,"[17254.0, 17976.0, 25295.0, 32532.0, 28565.0, 36819.0, 28852.0, 23243.0]"
M1:198,M1,198,QNM11,quarterly,4,34,8,"[548596.0, 572670.0, 592558.0, 561684.0, 615553.0, 615895.0, 612695.0, 654950.0]"
M1:199,M1,199,QNM12,quarterly,4,34,8,"[131388.0, 130712.0, 130036.0, 135511.0, 132519.0, 144162.0, 121898.0, 154758.0]"
M1:200,M1,200,QNM13,quarterly,4,34,8,"[16380.0, 20976.0, 28459.0, 31185.0, 33170.0, 35500.0, 24577.0, 21109.0]"
M1:201,M1,201,QNM14,quarterly,4,34,8,"[521386.0, 581109.0, 619826.0, 564637.0, 656687.0, 701198.0, 740835.0, 663858.0]"
M1:202,M1,202,QNM15,quarterly,4,24,8,"[119101.0, 116187.0, 120615.0, 122262.0, 122630.0, 123516.0, 124408.0, 131643.0]"
M1:203,M1,203,QNM16,quarterly,4,42,8,"[144997.0, 152431.0, 154517.0, 153713.0, 152062.0, 147907.0, 129675.0, 136911.0]"
M1:204,M1,204,QNM17,quarterly,4,106,8,"[334.233, 322.866, 340.416, 339.817, 337.025, 334.034, 338.621, 352.78]"
M1:205,M1,205,QNM18,quarterly,4,43,8,"[1185.0, 1427.0, 1276.0, 871.0, 931.0, 1082.0, 1084.0, 706.0]"
M1:206,M1,206,QNM19,quarterly,4,43,8,"[1401.0, 1537.0, 1369.0, 1082.0, 1376.0, 1295.0, 1272.0, 947.0]"
M1:207,M1,207,QNM20,quarterly,4,43,8,"[1401.0, 1537.0, 1369.0, 1082.0, 1376.0, 1295.0, 1272.0, 947.0]"
M1:208,M1,208,QNB1,quarterly,4,28,8,"[298.49, 305.65, 224.5, 268.3, 297.9, 258.2, 227.05, 227.5]"
M1:209,M1,209,QNB2,quarterly,4,18,8,"[12.0, 5.3, 3.9, 6.4, 12.7, 4.8, 21.1, 21.0]"
M1:210,M1,210,QNB3,quarterly,4,30,8,"[74714.0, 80396.0, 58518.0, 84043.0, 75393.0, 76521.0, 93872.0, 62929.0]"
M1:211,M1,211,QNB4,quarterly,4,30,8,"[595.0, 1088.0, 836.0, 975.0, 791.0, 945.0, 408.0, 812.0]"
M1:212,M1,212,QNB5,quarterly,4,66,8,"[250.0, 333.0, 207.0, 393.0, 389.0, 356.0, 394.0, 307.0]"
M1:213,M1,213,QNB6,quarterly,4,28,8,"[492.06, 493.8, 394.42, 457.29, 467.76, 447.23, 352.98, 463.89]"
M1:214,M1,214,QNB7,quarterly,4,30,8,"[119795.0, 71246.0, 93746.0, 70472.0, 124193.0, 95087.0, 89407.0, 150123.0]"
M1:215,M1,215,QNB8,quarterly,4,33,8,"[922.0, 890.0, 896.0, 873.0, 882.0, 870.0, 840.0, 850.0]"
M1:216,M1,216,QNB10,quarterly,4,33,8,"[312.0, 244.0, 233.0, 456.0, 839.0, 1650.0, 2363.0, 3348.0]"
M1:217,M1,217,QNB11,quarterly,4,92,8,"[20843.0, 22523.0, 23357.0, 24115.0, 23087.0, 25394.0, 26208.0, 26630.0]"
M1:218,M1,218,QNB12,quarterly,4,88,8,"[321.0, 278.0, 291.0, 305.0, 285.0, 446.0, 453.0, 412.0]"
M1:219,M1,219,QNB13,quarterly,4,34,8,"[19634.0, 10334.0, 34632.0, 35165.0, 42445.0, 43095.0, 44496.0, 43264.0]"
M1:220,M1,220,QNB14,quarterly,4,34,8,"[11081.0, 7666.0, 5639.0, 6030.0, 5339.0, 6067.0, 5707.0, 9701.0]"
M1:221,M1,221,QNB15,quarterly,4,34,8,"[178926.0, 160058.0, 182222.0, 194522.0, 209704.0, 182489.0, 165275.0, 169878.0]"
M1:222,M1,222,QNB16,quarterly,4,34,8,"[11759.0, 13664.0, 15708.0, 20386.0, 17003.0, 13711.0, 12763.0, 14416.0]"
M1:223,M1,223,QNB17,quarterly,4,52,8,"[8095.0, 7817.0, 10219.0, 12726.0, 10673.0, 10408.0, 6317.0, 4075.0]"
M1:224,M1,224,QRI1,quarterly,4,56,8,"[2390.0, 2205.0, 2047.0, 2364.0, 2038.0, 1812.0, 1554.0, 1767.0]"
M1:225,M1,225,QRI2,quarterly,4,56,8,"[139.0, 135.0, 122.0, 123.0, 117.0, 110.0, 98.0, 119.0]"
M1:226,M1,226,QRI3,quarterly,4,36,8,"[67.0, 76.0, 76.0, 91.0, 76.0, 89.0, 87.0, 92.0]"
M1:227,M1,227,QRI4,quarterly,4,36,8,"[1.86, 2.04, 2.02, 2.16, 2.25, 2.27, 2.28, 2.27]"
M1:228,M1,228,QRI5,quarterly,4,56,8,"[98.0, 108.0, 88.0, 101.0, 93.0, 108.0, 88.0, 99.0]"
M1:229,M1,229,QNI1,quarterly,4,32,8,"[114.0, 124.0, 93.0, 127.0, 128.0, 130.0, 89.0, 116.0]"
M1:230,M1,230,QNI2,quarterly,4,32,8,"[90.0, 137.0, 126.0, 130.0, 126.0, 148.0, 134.0, 144.0]"
M1:231,M1,231,QNI3,quarterly,4,32,8,"[22.6, 21.8, 16.3, 23.9, 24.4, 22.2, 16.2, 25.7]"
M1:385,M1,385,MRF1,monthly,12,42,18,"[1179180.0, 1939450.0, 630177.0, 913313.0, 1617990.0, 622073.0, 915206.0, 1282970.0, 1267910.0, 1206720.0, 1406860.0, 688207.0, 516501.0, 1378010.0, 840271.0, 437741.0, 556951.0, 700000.0]"
M1:386,M1,386,MRM1,monthly,12,109,18,"[152.048, 161.141, 151.959, 186.112, 188.906, 256.661, 277.88, 306.027, 308.764, 273.653, 264.436, 252.761, 260.586, 258.142, 263.29, 253.499, 256.075, 249.276]"
M1:387,M1,387,MRM2,monthly,12,129,18,"[754.0, 886.0, 833.0, 859.0, 1006.0, 938.0, 1018.0, 945.0, 952.0, 916.0, 317.0, 817.0, 825.0, 624.0, 533.0, 611.0, 698.0, 695.0]"
M1:388,M1,388,MRM4,monthly,12,70,18,"[8202.0, 7582.0, 6880.0, 6841.0, 6618.0, 5719.0, 6296.0, 6500.0, 4957.0, 5058.0, 4674.0, 4370.0, 4010.0, 3633.0, 4680.0, 4963.0, 5355.0, 5060.0]"
M1:389,M1,389,MRM5,monthly,12,129,18,"[52.4439, 48.6293, 45.6724, 49.5575, 44.5638, 46.3171, 40.7503, 41.5301, 38.0697, 41.4231, 35.3383, 42.8999, 37.788, 42.2303, 44.5205, 43.1338, 43.2937, 42.6523]"
M1:390,M1,390,MRM6,monthly,12,42,18,"[3464.0, 2557.0, 1927.0, 984.0, 699.0, 708.0, 1800.0, 2799.0, 4701.0, 6427.0, 6134.0, 5686.0, 5056.0, 4157.0, 2880.0, 1754.0, 972.0, 909.0]"
M1:391,M1,391,MRM7,monthly,12,42,18,"[139844.0, 99098.0, 123147.0, 136589.0, 109528.0, 88284.0, 120652.0, 143008.0, 193415.0, 222637.0, 187172.0, 183758.0, 162622.0, 110771.0, 170540.0, 191787.0, 144563.0, 124708.0]"
M1:392,M1,392,MRM8,monthly,12,42,18,"[1109.0, 582.0, 597.0, 719.0, 662.0, 685.0, 539.0, 557.0, 656.0, 744.0, 618.0, 673.0, 872.0, 522.0, 585.0, 649.0, 669.0, 973.0]"
M1:393,M1,393,MRM9,monthly,12,42,18,"[12656.0, 6081.0, 5045.0, 5085.0, 3659.0, 3551.0, 3805.0, 4978.0, 9169.0, 10185.0, 10844.0, 12410.0, 12097.0, 5576.0, 5683.0, 5999.0, 4673.0, 4554.0]"
M1:394,M1,394,MRM10,monthly,12,132,18,"[2863.0, 3955.0, 4638.0, 8562.0, 5507.0, 4898.0, 4419.0, 4386.0, 4270.0, 4512.0, 5861.0, 4255.0, 3299.0, 4070.0, 5329.0, 8180.0, 7789.0, 5709.0]"
M1:395,M1,395,MRM11,monthly,12,132,18,"[4942.0, 5021.0, 5748.0, 4897.0, 4873.0, 5869.0, 3031.0, 3723.0, 4057.0, 2978.0, 3852.0, 3281.0, 3309.0, 3176.0, 2593.0, 2851.0, 3417.0, 4115.0]"
M1:396,M1,396,MRM12,monthly,12,105,18,"[25.3, 36.8, 33.6, 30.4, 37.9, 27.2, 28.2, 27.1, 22.2, 25.0, 28.7, 30.3, 19.9, 28.7, 25.9, 27.9, 28.5, 20.6]"
M1:397,M1,397,MRM13,monthly,12,105,18,"[23.6, 22.8, 21.8, 20.2, 26.2, 16.0, 20.4, 22.7, 18.4, 19.8, 22.9, 19.8, 14.4, 18.0, 20.4, 24.6, 25.3, 13.8]"
M1:398,M1,398,MRM15,monthly,12,79,18,"[1686.0, 1751.0, 1015.0, 788.0, 1524.0, 1872.0, 1649.0, 1756.0, 1105.0, 1152.0, 1207.0, 1158.0, 1128.0, 986.0, 846.0, 1173.0, 2171.0, 2700.0]"
M1:399,M1,399,MRM16,monthly,12,112,18,"[9222.5, 15527.5, 8742.5, 9315.0, 8247.5, 4735.0, 3992.5, 5485.0, 2497.5, 9905.0, 9227.5, 10177.5, 8207.5, 8142.5, 6880.0, 4390.0, 3842.5, 8315.0]"
M1:400,M1,400,MRM17,monthly,12,90,18,"[111.0, 103.0, 101.0, 97.0, 90.0, 93.0, 102.0, 92.0, 89.0, 93.0, 88.0, 95.0, 98.0, 99.0, 97.0, 98.0, 93.0, 101.0]"
M1:401,M1,401,MRM18,monthly,12,89,18,"[39.5, 34.2, 36.9, 33.6, 30.9, 26.6, 31.0, 31.9, 26.2, 33.7, 29.5, 35.2, 32.3, 31.3, 33.0, 30.6, 31.7, 30.9]"
M1:402,M1,402,MRB1,monthly,12,102,18,"[3514.32, 2279.72, 1840.93, 4539.49, 2120.16, 3626.01, 3011.7, 2808.26, 3843.41, 4338.05, 3941.14, 3268.99, 3257.03, 4192.45, 2084.26, 5227.6, 3123.39, 2590.86]"
M1:403,M1,403,MRB2,monthly,12,70,18,"[6538.1, 8883.89, 9371.54, 8139.19, 7537.95, 5355.45, 6372.71, 7463.84, 6866.85, 1606.9, 6424.55, 5487.23, 3563.16, 5600.57, 6640.57, 5681.69, 6415.91, 7129.81]"
M1:404,M1,404,MRB3,monthly,12,70,18,"[8638.1, 9839.43, 9447.45, 7067.82, 7878.69, 6494.98, 6192.94, 7272.63, 4819.68, 632.157, 6013.65, 5727.32, 5989.47, 5858.84, 4274.57, 5330.62, 7981.59, 6128.42]"
M1:405,M1,405,MRB4,monthly,12,70,18,"[10395.2, 11084.3, 10260.1, 9426.45, 11081.8, 9477.98, 9856.94, 11110.1, 8334.32, 809.569, 9706.67, 9925.42, 9994.74, 10022.7, 9421.18, 8935.15, 10642.5, 9329.66]"
M1:406,M1,406,MRB5,monthly,12,58,18,"[3032.52, 3326.0, 3066.12, 3138.41, 2808.51, 2352.03, 2417.0, 2534.29, 2515.48, 874.0, 2110.99, 1710.21, 2033.23, 1756.23, 2491.0, 2369.0, 2365.0, 2149.0]"
M1:407,M1,407,MRB6,monthly,12,54,18,"[41.9204, 26.9147, 41.6035, 38.3099, 41.0156, 35.6027, 39.0139, 35.138, 34.5603, 37.0048, 27.8272, 48.4848, 44.2413, 27.3642, 41.4885, 38.3534, 37.7073, 39.2739]"
M1:408,M1,408,MRB7,monthly,12,82,18,"[676.0, 680.0, 688.0, 686.0, 677.0, 694.0, 703.0, 671.0, 688.0, 679.0, 683.0, 663.0, 680.0, 693.0, 668.0, 685.0, 679.0, 644.0]"
M1:409,M1,409,MRB8,monthly,12,78,18,"[722.0, 677.0, 957.0, 1734.0, 2323.0, 1763.0, 608.0, 947.0, 1232.0, 1132.0, 1190.0, 1293.0, 1028.0, 1035.0, 1635.0, 1612.0, 1855.0, 1421.0]"
M1:410,M1,410,MRB9,monthly,12,66,18,"[3966.0, 4225.0, 4634.0, 3475.0, 1548.0, 856.0, 6532.0, 2637.0, 5427.0, 4303.0, 5539.0, 2240.0, 4389.0, 5289.0, 5114.0, 6090.0, 3673.0, 2436.0]"
M1:411,M1,411,MRB10,monthly,12,66,18,"[4109.0, 3511.0, 3667.0, 4416.0, 4065.0, 1732.0, 5061.0, 4516.0, 3798.0, 2695.0, 1314.0, 3409.0, 2496.0, 3514.0, 5800.0, 4776.0, 4578.0, 4037.0]"
M1:412,M1,412,MRB11,monthly,12,66,18,"[2402.0, 2138.0, 2532.0, 1966.0, 1479.0, 2509.0, 1840.0, 1798.0, 1574.0, 1506.0, 1664.0, 1710.0, 844.0, 1056.0, 1495.0, 1478.0, 1354.0, 817.0]"
M1:413,M1,413,MRB12,monthly,12,66,18,"[182.0, 105.0, 181.0, 152.0, 120.0, 184.0, 152.0, 122.0, 124.0, 172.0, 180.0, 151.0, 123.0, 134.0, 115.0, 136.0, 144.0, 158.0]"
M1:414,M1,414,MRB13,monthly,12,62,18,"[47.0, 63.0, 70.0, 41.0, 52.0, 15.0, 50.0, 52.0, 46.0, 51.0, 53.0, 51.0, 51.0, 48.0, 41.0, 40.0, 43.0, 21.0]"
M1:415,M1,415,MRB14,monthly,12,63,18,"[1523.0, 1597.0, 1392.0, 1654.0, 190.0, 1525.0, 1573.0, 859.0, 985.0, 1227.0, 1122.0, 988.0, 1200.0, 1068.0, 1294.0, 1217.0, 153.0, 1451.0]"
M1:416,M1,416,MRB15,monthly,12,63,18,"[2366.0, 2821.0, 2522.0, 2453.0, 765.0, 2233.0, 2358.0, 1443.0, 1450.0, 1525.0, 1530.0, 1306.0, 1620.0, 1512.0, 1796.0, 1635.0, 565.0, 2132.0]"
M1:417,M1,417,MRB16,monthly,12,54,18,"[2602.0, 1453.0, 2750.0, 3031.0, 2908.0, 2222.0, 3157.0, 2544.0, 3116.0, 3091.0, 3088.0, 2843.0, 2253.0, 1609.0, 2705.0, 2917.0, 1872.0, 1834.0]"
M1:418,M1,418,MRB17,monthly,12,63,18,"[343.0, 283.0, 344.0, 327.0, 212.0, 282.0, 334.0, 304.0, 323.0, 224.0, 283.0, 185.0, 306.0, 216.0, 270.0, 256.0, 248.0, 260.0]"
M1:419,M1,419,MRB18,monthly,12,62,18,"[692.0, 672.0, 660.0, 708.0, 650.0, 466.0, 567.0, 671.0, 534.0, 662.0, 492.0, 557.0, 522.0, 545.0, 591.0, 492.0, 552.0, 442.0]"
M1:420,M1,420,MRB19,monthly,12,63,18,"[214.0, 208.0, 282.0, 200.0, 171.0, 261.0, 252.0, 207.0, 224.0, 297.0, 246.0, 185.0, 199.0, 140.0, 229.0, 268.0, 152.0, 150.0]"
M1:421,M1,421,MRB20,monthly,12,62,18,"[884.0, 1002.0, 1023.0, 926.0, 943.0, 735.0, 954.0, 994.0, 618.0, 940.0, 932.0, 805.0, 820.0, 852.0, 678.0, 866.0, 861.0, 667.0]"
M1:422,M1,422,MRB21,monthly,12,60,18,"[1108.0, 1119.0, 1064.0, 1147.0, 1189.0, 943.0, 1139.0, 451.0, 933.0, 965.0, 777.0, 795.0, 810.0, 837.0, 846.0, 888.0, 783.0, 944.0]"
M1:423,M1,423,MRB22,monthly,12,63,18,"[620.0, 659.0, 616.0, 602.0, 277.0, 457.0, 532.0, 480.0, 474.0, 464.0, 496.0, 495.0, 517.0, 387.0, 481.0, 429.0, 185.0, 467.0]"
M1:424,M1,424,MRB23,monthly,12,63,18,"[592.0, 760.0, 690.0, 795.0, 124.0, 588.0, 331.0, 409.0, 380.0, 441.0, 477.0, 281.0, 422.0, 368.0, 268.0, 307.0, 143.0, 272.0]"
M1:425,M1,425,MRB24,monthly,12,63,18,"[214.0, 322.0, 261.0, 228.0, 171.0, 247.0, 305.0, 338.0, 324.0, 296.0, 284.0, 222.0, 251.0, 215.0, 142.0, 139.0, 100.0, 190.0]"
M1:426,M1,426,MRB25,monthly,12,105,18,"[22063.0, 24783.0, 25923.0, 20796.0, 21257.0, 23026.0, 26802.0, 25358.0, 27267.0, 32287.0, 31038.0, 27664.0, 26828.0, 22133.0, 26347.0, 22300.0, 21400.0, 26100.0]"
M1:427,M1,427,MRB26,monthly,12,105,18,"[22063.0, 24783.0, 25923.0, 20796.0, 21408.8, 23026.0, 26802.0, 25358.0, 27267.0, 32287.0, 31038.0, 27664.0, 26828.0, 22133.0, 26347.0, 22300.0, 20809.7, 26100.0]"
M1:428,M1,428,MRB27,monthly,12,105,18,"[16916.0, 16351.0, 17362.0, 14497.0, 14803.0, 16345.0, 18052.0, 18355.0, 18125.0, 21438.0, 20486.0, 19067.0, 18761.0, 15703.0, 18361.0, 15870.0, 15110.0, 18350.0]"
M1:429,M1,429,MRB28,monthly,12,66,18,"[18300.0, 17275.0, 15844.0, 15455.0, 14161.0, 14964.0, 12957.0, 13015.8, 16267.0, 15707.0, 16894.0, 17225.0, 19089.0, 18982.0, 17269.0, 16698.0, 15653.0, 15490.0]"
M1:430,M1,430,MRB29,monthly,12,78,18,"[141.458, 138.162, 134.264, 142.143, 144.311, 142.776, 142.526, 140.48, 143.768, 145.783, 148.75, 141.233, 148.518, 156.396, 145.711, 146.542, 145.382, 144.782]"
M1:431,M1,431,MRB30,monthly,12,39,18,"[7898.0, 7819.0, 8591.0, 6602.0, 5937.0, 9308.0, 6087.0, 5752.0, 7438.0, 5142.0, 6382.0, 8571.0, 5454.0, 5078.0, 6127.0, 3759.0, 3343.0, 7109.0]"
M1:432,M1,432,MRB31,monthly,12,39,18,"[7169.0, 7632.0, 8164.0, 6796.0, 5910.0, 10239.0, 9589.0, 7878.0, 9094.0, 5940.0, 6146.0, 7710.0, 5396.0, 5601.0, 5408.0, 4517.0, 3527.0, 6495.0]"
M1:433,M1,433,MRB32,monthly,12,39,18,"[8.1588, 8.5289, 8.6167, 8.4574, 8.4253, 8.8548, 8.6571, 8.5934, 8.7063, 8.3359, 8.3485, 8.5817, 8.0427, 8.4051, 8.4935, 8.1218, 7.7297, 8.3111]"
M1:434,M1,434,MNF1,monthly,12,104,18,"[27518.0, 36765.0, 32517.0, 37962.0, 36341.0, 35300.0, 37157.0, 32392.0, 35056.0, 34249.0, 33890.0, 14524.0, 30123.0, 32524.0, 33972.0, 36899.0, 27951.0, 35932.0]"
M3:1,M3,1,N0001,yearly,1,14,6,"[5379.75, 6158.68, 6876.58, 7851.91, 8407.84, 9156.01]"
M3:2,M3,2,N0002,yearly,1,14,6,"[4793.2, 5602.0, 5065.0, 5056.0, 5067.2, 5209.6]"
M3:3,M3,3,N0003,yearly,1,14,6,"[3070.2, 3601.6, 3407.4, 3500.6, 3437.8, 3007.0]"
M3:4,M3,4,N0004,yearly,1,14,6,"[4656.0, 5228.52, 5656.72, 5077.02, 5403.4, 5009.52]"
M3:5,M3,5,N0005,yearly,1,14,6,"[5250.9, 4899.2, 4317.9, 4007.9, 4323.4, 4819.4]"
M3:6,M3,6,N0006,yearly,1,14,6,"[4338.03, 4185.92, 3950.49, 3715.59, 3958.3, 4140.39]"
M3:7,M3,7,N0007,yearly,1,14,6,"[5163.21, 5089.94, 4786.4, 4926.47, 5068.83, 5318.19]"
M3:8,M3,8,N0008,yearly,1,14,6,"[8809.8, 8953.5, 7991.01, 7294.08, 7163.37, 7478.31]"
M3:9,M3,9,N0009,yearly,1,14,6,"[6277.6, 7446.28, 6741.69, 6600.69, 7850.17, 8485.26]"
M3:10,M3,10,N0010,yearly,1,14,6,"[10042.9, 10173.0, 8751.0, 3472.0, 3187.0, 3058.0]"
