series_key,dataset,index,series,type,period,n,h,backend,status,elapsed_seconds,forecast,actual,model_selected,alpha_real,alpha_imag,beta_real,beta_imag,sse,error,finite,smape,mase,mae,rmse
M1:27,M1,27,YAM12,yearly,1,13,6,aeon,ok,0.0007700000423938036,"[13098634.058983672, 12997791.794305418, 12899382.718522849, 12800405.79446113, 12703228.585605694, 12605964.804718887]","[14394000.0, 14481000.0, 13838000.0, 12577000.0, 12494000.0, 16627000.0]",N,1.8,0.9863281249999996,,,25324671113240.12,,True,9.695224334697663,1.2393669130784173,1361810.1672559995,1871776.905126748
M1:28,M1,28,YAM13,yearly,1,33,6,aeon,ok,0.002821100002620369,"[2712.148817593901, 2719.8195063574817, 2725.354515142263, 2730.655088716337, 2735.937967059004, 2741.227873776805]","[2407.99, 2931.99, 4063.99, 2194.99, 1743.0, 7361.98]",N,0.8840768352967385,1.0017129584622038,,,52041165.625705644,,True,36.06358285597693,1.2174796529154601,1334.0533296821154,2022.9387439937416
M1:29,M1,29,YAM14,yearly,1,20,6,aeon,ok,0.0008340000058524311,"[831.504794930612, 840.8386221281222, 851.6704768509574, 861.5093189815661, 872.3809476885501, 882.6428704203054]","[799.998, 809.998, 858.998, 871.998, 884.998, 880.998]",N,1.8,1.0220069885253884,,,20714.209012302563,,True,1.881314684701542,0.5620568092736068,15.73759065966099,19.448319262363537
M1:30,M1,30,YAM15,yearly,1,22,6,aeon,ok,0.0007926999824121594,"[792.74499663906, 799.658694525622, 809.3194398086353, 816.9150372557424, 826.3478858698483, 834.4564911577974]","[757.998, 798.998, 857.998, 724.998, 811.998, 843.998]",N,1.8,1.0191634178161577,,,41249.77467351713,,True,4.202383099016693,0.9391025391052882,33.31578055397332,45.31941061019436
M1:31,M1,31,YAM16,yearly,1,22,6,aeon,ok,0.0007711999933235347,"[93.3243158386148, 92.69010730966492, 92.17542452535139, 91.63929451000412, 91.11140367626086, 90.58547458278649]","[89.6998, 91.4998, 112.0, 141.2, 143.4, 130.0]",N,1.216505726352334,0.9930136904120448,,,3952.1789061947616,,True,24.59550135209408,3.1695485288677347,27.65053764231281,34.52398535159547
M1:32,M1,32,YAM17,yearly,1,14,6,aeon,ok,0.0007622999837622046,"[220.3142053012687, 220.39129719692957, 229.90077039024058, 235.93614751513823, 243.6640050908789, 251.02918131375517]","[189.0, 238.999, 246.999, 248.999, 256.999, 190.0]",N,1.3686697387695315,1.043292236328125,,,12169.17422025917,,True,11.493772344660435,0.929543131242535,25.74119440363943,30.800965052901077
M1:33,M1,33,YAM18,yearly,1,22,6,aeon,ok,0.0007753000245429575,"[5950.040372827874, 6196.060213291993, 6564.8640616955145, 6858.827717069954, 7247.72257129151, 7588.617090379464]","[5854.99, 6373.98, 6513.98, 5265.99, 6393.98, 6602.98]",N,1.8,1.0950614929199203,,,559661.6839936716,,True,9.65006670741017,3.102726126953773,626.0119333287207,844.6664091520917
M1:34,M1,34,YAM19,yearly,1,22,6,aeon,ok,0.002542099973652512,"[97.67738798815175, 97.54398641093675, 97.41591978601107, 97.28914140379507, 97.1627714866786, 97.03661863556842]","[98.9998, 104.6, 140.5, 145.1, 136.2, 135.9]",N,0.7839338042405253,0.9989839710533561,,,1186.1943801146713,,True,25.136327935917155,6.472953131638874,29.528995714809714,34.70811598163649
M1:35,M1,35,YAM20,yearly,1,21,6,aeon,ok,0.0007796999998390675,"[9332.652342254802, 9301.288052213995, 9275.259658890203, 9245.134346838084, 9218.42914091263, 9189.152862199704]","[9596.98, 9591.98, 9201.98, 9904.97, 9027.98, 10300.0]",N,1.8,0.9945224761962914,,,7642461.204116595,,True,4.5069159015150335,0.9492397801591882,431.5718660493749,557.5805107158411
M1:36,M1,36,YAM21,yearly,1,19,6,aeon,ok,0.0007811000104993582,"[194.58851167654436, 195.1676619922675, 195.62190497157562, 196.1038351945238, 196.58134887762625, 197.06120437143045]","[213.909, 217.369, 240.669, 273.289, 256.069, 274.249]",N,1.2079686468839643,1.0029533505439763,,,1904.5827151459466,,True,22.13309957673918,6.446063501273753,50.07158881933867,55.3017593827928
M1:37,M1,37,YAM22,yearly,1,22,6,aeon,ok,0.0007600999670103192,"[100.04189594463381, 99.14133344955951, 98.10571508552222, 97.19394928683768, 96.20127998621776, 95.2893380126079]","[93.5998, 90.5998, 105.4, 118.7, 112.8, 122.7]",N,1.8,0.9824466705322279,,,3725.4090682787414,,True,13.963478582907221,1.5472140714024534,14.632224503834628,16.618449086299123
M1:38,M1,38,YAM23,yearly,1,22,6,aeon,ok,0.0007599000236950815,"[12509.143863979414, 13458.972974993647, 14073.971338562964, 15061.22862437196, 15818.272340385749, 16867.99491230762]","[11876.0, 12611.0, 13454.0, 13645.0, 14034.0, 14184.0]",N,1.8,1.1099085330963114,,,2301424.380034057,,True,9.218448390976816,3.1361696803304233,1330.9306757668921,1521.920594178248
M1:39,M1,39,YAM24,yearly,1,21,6,aeon,ok,0.0007581000099889934,"[9863.662661065639, 10193.175632644763, 10967.000143508536, 11420.032757096535, 12211.08777744463, 12779.373687530238]","[9823.97, 10487.0, 11367.0, 11933.0, 9015.98, 11048.0]",N,1.8,1.1051774501800522,,,1752830.3718321263,,True,9.309449449521475,2.990343260568074,1028.827598798446,1512.0302079785852
M1:40,M1,40,YAM25,yearly,1,21,6,aeon,ok,0.0007674000225961208,"[12084.99288034094, 12359.297090324495, 12776.010874617337, 13093.487702795273, 13512.089473877211, 13866.67663355615]","[11582.0, 12341.0, 13033.0, 13644.0, 10406.0, 12351.0]",N,1.7981549978256226,1.0525983810424795,,,2646464.1382850492,,True,8.007180749640371,2.9195159948416176,991.7595834476975,1447.2681909011371
M1:41,M1,41,YAM26,yearly,1,21,6,aeon,ok,0.000776599976234138,"[26128.64996817755, 26585.741443303214, 27189.496131669788, 27692.879304540827, 28298.960258583684, 28841.559562134873]","[29246.9, 31765.9, 34866.9, 31151.9, 25741.9, 35109.9]",N,1.8,1.0371021032333392,,,23937257.566759907,,True,15.763960358760793,4.886439438523609,4710.038974792907,5054.627076147648
M1:42,M1,42,YAM27,yearly,1,21,6,aeon,ok,0.0007839000318199396,"[624.9514814693749, 706.5820446828776, 793.0426657490746, 894.4228197117917, 1005.5101799226397, 1132.8210054218248]","[544.999, 673.998, 794.998, 958.998, 1070.0, 1228.0]",N,1.6217165523767467,1.2195557534694665,,,5248.204565829003,,True,6.646675583315225,2.1105037716319113,56.45597589115363,64.35043952817593
M1:43,M1,43,YAM28,yearly,1,21,6,aeon,ok,0.0007678999681957066,"[1295.6270312293598, 1429.4193058030185, 1535.5499164902062, 1682.2183297832646, 1816.4877054689302, 1982.4138303423788]","[1357.0, 1345.0, 1588.0, 1854.0, 1646.0, 2009.99]",N,1.7131135487556446,1.1555537894368162,,,17580.36787042581,,True,5.835989414162423,1.8804631030345558,94.68131723778988,110.28728909811541
M1:44,M1,44,YAM29,yearly,1,17,6,aeon,ok,0.0007577999494969845,"[7914.7009483402035, 7934.780991957924, 7946.736817198277, 7965.263105109272, 7978.575349252522, 7996.124415726465]","[8099.98, 7549.98, 7108.98, 6851.98, 7394.98, 7394.98]",N,1.8,1.0035402297973628,,,4159379.7767882124,,True,8.140553031579612,1.5085166563493646,617.643288484043,686.2451004692097
M1:45,M1,45,YAM30,yearly,1,47,6,aeon,ok,0.0007766000344417989,"[70757.53655413221, 69971.61837405311, 69916.46020889073, 69284.29016557208, 69114.26274490735, 68580.63133826684]","[68043.8, 64323.8, 81283.8, 93548.8, 95152.8, 102893.0]",N,1.8,0.9903347015380835,,,2457833208.077658,,True,21.480601326959526,4.015445161932652,17390.718411758055,20866.996012310312
M1:46,M1,46,YAB1,yearly,1,21,6,aeon,ok,0.0007542999810539186,"[31804.632434968604, 33807.4074575058, 36070.773208608596, 38369.086848443476, 40914.535261788944, 43541.61656297661]","[34548.9, 32960.9, 44362.9, 57251.9, 68879.8, 81793.8]",N,1.8,1.1215415954589814,,,124890927.40273337,,True,30.483643835866,7.367469870987609,16163.860523453264,21129.967456052873
M1:47,M1,47,YAB2,yearly,1,22,6,aeon,ok,0.000756199995521456,"[8716.475375879285, 9074.71885316542, 10227.108604825167, 10803.322996981356, 12030.723270019767, 12832.30085690123]","[8574.98, 28734.9, 38913.9, 38526.9, 53029.9, 56167.9]",N,1.8,1.1650878906249988,,,20334758.475993223,,True,97.73816865834492,48.92163266402161,26757.80346566439,30378.111943985325
M1:48,M1,48,YAB3,yearly,1,19,6,aeon,ok,0.0007698999834246933,"[609674.3845399823, 678407.0075031895, 732076.164134396, 804330.5909654096, 874421.8697896609, 956538.1524984168]","[476087.0, 504506.0, 666222.0, 706620.0, 734453.0, 910998.0]",N,1.5494787597656243,1.149975585937499,,,76813214014.10345,,True,16.43979518119967,2.2891486478428784,109427.0282385092,118065.28578099007
M1:49,M1,49,YAB4,yearly,1,19,6,aeon,ok,0.0007675000233575702,"[80149.0840043075, 81699.09642189193, 84808.47596914519, 86843.86410642743, 89840.89310477304, 92232.96704530063]","[75746.8, 72605.8, 71754.8, 70845.8, 72951.8, 97999.7]",N,1.741552597284317,1.0531359195709218,,,2604260320.2275853,,True,13.535287969586236,1.0904995076472512,10867.191093540741,11880.66588063903
M1:50,M1,50,YAB5,yearly,1,17,6,aeon,ok,0.0007611999753862619,"[10785.83809023971, 11161.537875870717, 11723.140697200026, 12166.052536763396, 12748.808710503794, 13255.093438550773]","[9994.97, 10889.0, 12105.0, 11969.0, 9497.98, 12110.0]",N,1.8,1.0799346923828108,,,2505825.283952837,,True,8.862588742350201,2.408672133524155,1006.3733257880609,1458.510755723745
M1:182,M1,182,QRF1,quarterly,4,40,8,aeon,ok,0.002590399992186576,"[1.052097169779449, 1.4685604398667462, 1.8669070256996085, 0.958599036281077, 0.7712512490943193, 1.3023693228662983, 1.6535058685034691, 0.8085467823018913]","[0.72, 0.94, 1.14, 1.03, 3.09, 4.11, 5.1, 4.3]",P,1.7933923511640397,0.8441985414450544,0.09074268526949414,,39.078067403016995,,True,74.93864890363356,0.7691470381534982,1.7154115470373437,2.1866386804071705
M1:183,M1,183,QRF2,quarterly,4,60,8,aeon,ok,0.0025872999685816467,"[99.0806166964314, 99.07324442895192, 99.06776734165184, 99.06077495657777, 99.0549954385172, 99.04824642960314, 99.04227367688658, 99.03568069402866]","[109.0, 110.0, 123.0, 118.0, 147.0, 160.0, 201.0, 214.0]",N,1.8,0.9998851954937007,,,606.1924133980094,,True,35.804254206939135,8.019867065769002,48.69205004216894,62.02342959908625
M1:184,M1,184,QRM1,quarterly,4,48,8,aeon,ok,0.0025813000393100083,"[182.89685053723582, 269.4918196506561, 267.3876920138776, 265.70351547481886, 193.5668565783145, 279.57295009511097, 277.9256462526591, 276.1553220587006]","[191.0, 288.0, 289.0, 214.0, 153.0, 323.0, 330.0, 318.0]",P,1.5110143185801979,1.0146110444538778,0.3115226088440702,,15711.447408519794,,True,13.66766179071071,1.5144900921178517,34.73001143061165,37.984952689030536
M1:185,M1,185,QNF1,quarterly,4,101,8,aeon,ok,0.0056909999693743885,"[39340.31013679536, 30147.422085183156, 40426.042741874815, 41344.889662270994, 41444.38788626179, 31396.01631384867, 41897.451240961636, 42110.287374104984]","[36465.9, 27207.9, 36602.0, 40931.4, 43695.3, 35105.7, 41235.1, 46557.6]",F,1.8,0.9619986779087916,1.1594671067638125,1.0451356145105812,207505471.25364268,,True,7.1046229113096375,1.3893892326841937,2640.215536608813,2973.6962998556437
M1:186,M1,186,QNF2,quarterly,4,33,8,aeon,ok,0.0021644000080414116,"[683739.663032326, 684625.8184121805, 675400.7725376381, 667133.0341500535, 690642.8369774835, 691928.2755946777, 682416.4572346213, 674412.6796704974]","[691346.0, 745667.0, 722636.0, 701800.0, 741918.0, 791015.0, 772214.0, 818797.0]",P,1.8,1.004730302990649,0.01,,55093358226.21923,,True,9.208906286897948,1.1581217515806468,66886.68279881525,77921.91555207668
M1:187,M1,187,QNF3,quarterly,4,34,8,aeon,ok,0.0022957000182941556,"[545.4824706428681, 572.4000143529303, 607.3457474247967, 570.7778274406327, 547.9040726394228, 574.9023059392688, 609.7881721799009, 573.2729866037096]","[521.386, 581.109, 619.826, 564.637, 656.687, 701.198, 740.835, 663.858]",P,1.8,1.0019346038693875,0.01,,119821.99150888632,,True,10.13100723325256,0.6219210141655382,63.51712486793397,82.16842166518049
M1:188,M1,188,QNM1,quarterly,4,13,8,aeon,ok,0.002550099976360798,"[46.4713269625632, 34.939251116166176, 20.789986825469285, 24.344727466985294, 47.98469945980081, 36.33071708078381, 22.310094092984656, 25.790531278983547]","[49.3, 26.7, 16.8, 23.0, 48.2, 42.5, 30.7, 26.8]",P,1.8,1.020560752133758,0.01,,190.91152123590263,,True,13.892889389403036,0.6806376146652786,4.023324566688092,5.038984163785828
M1:189,M1,189,QNM2,quarterly,4,50,8,aeon,ok,0.002793000021483749,"[155.5466929924881, 167.52994076446336, 152.01348670418727, 176.87628210496837, 174.4780314167693, 186.418192066904, 171.91875310003277, 196.94824558007056]","[156.149, 172.805, 169.682, 167.6, 182.174, 182.174, 140.534, 166.559]",P,1.8,1.0519004717950733,0.01,,7482.272288388615,,True,7.910579846762124,0.8528397075722485,13.31704012175846,17.364348779380144
M1:190,M1,190,QNM3,quarterly,4,35,8,aeon,ok,0.002694099966902286,"[3992.721618151271, 2947.430707454262, 3739.9459006469056, 2402.732951507207, 4090.5837993291902, 3035.9101192545795, 3816.8376762010184, 2490.63771082064]","[3203.0, 2098.0, 1015.0, 3712.0, 4139.0, 2957.0, 3253.0, 2742.0]",S,1.3754510611295707,1.0276802659034727,,,13594667.86677786,,True,30.303462692852197,1.1916231196057274,826.9864450063749,1165.8886089372204
M1:191,M1,191,QNM4,quarterly,4,52,8,aeon,ok,0.0035029000137001276,"[13941.015693054465, 14409.486218373637, 12548.281363991391, 13631.307865471508, 15219.590231556906, 15294.363196514765, 13457.092127537224, 14858.544798747203]","[13819.0, 15038.0, 15518.0, 12623.0, 10887.0, 9766.0, 8861.0, 11380.0]",F,1.7999924677964851,1.0308601230052827,1.1938206160859355,1.0790695772337469,17437112.786454603,,True,22.375610187638717,2.878413267216356,2833.018291314631,3405.956279823196
M1:192,M1,192,QNM5,quarterly,4,50,8,aeon,ok,0.002798900008201599,"[149.42146868001862, 160.93278404089526, 146.02739691624998, 169.91107003207472, 167.60730189097714, 179.0772467945913, 165.1488093593913, 189.1926289010448]","[150.0, 166.0, 163.0, 161.0, 175.0, 175.0, 135.0, 160.0]",P,1.8,1.0519004717950733,0.01,,6904.523482018863,,True,7.910560668741903,0.8528400296580093,12.79260044487014,16.680542614516686
M1:193,M1,193,QNM6,quarterly,4,20,8,aeon,ok,0.0020626999903470278,"[292.96811344396826, 309.7759731640296, 253.51885019609574, 272.6704281837343, 288.6213495299273, 305.9623392962232, 249.30682491675248, 268.8017806491028]","[333.0, 366.0, 278.0, 320.0, 331.0, 330.0, 227.0, 319.0]",P,1.8,0.9935325161415038,0.01,,23063.44186895425,,True,12.78731801517536,0.6469715288802345,38.37349880670891,40.30248598188624
M1:194,M1,194,QNM7,quarterly,4,60,8,aeon,ok,0.002685000014025718,"[433.5613096729556, 421.3742296146571, 424.548039919146, 430.9578367135459, 427.907164408453, 415.77800472849066, 418.9401008783956, 425.39353647946166]","[475.0, 512.0, 610.0, 639.0, 613.0, 678.0, 795.0, 844.0]",P,1.8,0.9938766787082198,0.3512677929385895,,78532.43687493571,,True,39.337857571790465,3.6900621661480053,220.94247219811183,251.81250915530137
M1:195,M1,195,QNM8,quarterly,4,33,8,aeon,ok,0.002418300020508468,"[25772.73339305223, 26436.50898840091, 26866.601835876198, 25408.914018340016, 26627.57266915053, 27335.0324019926, 27743.093127056254, 26316.606189075672]","[29154.0, 29058.0, 28628.0, 26204.0, 28345.0, 29285.0, 26278.0, 28641.0]",P,1.8,1.0151083226334963,0.016189209622377257,,19441763.94177263,,True,7.275980916039504,1.237735266868151,2002.0154538960123,2131.3463741026503
M1:196,M1,196,QNM9,quarterly,4,34,8,aeon,ok,0.0023947000154294074,"[128358.59190301143, 125515.04321590727, 128802.79339629611, 124283.0161338182, 134315.33135252853, 132063.12053534074, 135010.44704381286, 130908.82344814803]","[131782.0, 121252.0, 143642.0, 128780.0, 136479.0, 135168.0, 122733.0, 144710.0]",P,1.8,1.022268327352667,0.01,,962431117.1880947,,True,5.4997260767441,0.7753008078975084,7296.226686322136,8844.829673419805
M1:197,M1,197,QNM10,quarterly,4,34,8,aeon,ok,0.0020022999960929155,"[27958.274333157744, 28045.974897906563, 27801.07523152522, 27821.707621518326, 27631.444989326756, 27609.769422445468, 27454.413344767152, 27406.13714801947]","[17254.0, 17976.0, 25295.0, 32532.0, 28565.0, 36819.0, 28852.0, 23243.0]",N,1.8,0.9937499999999981,,,643910182.5319618,,True,21.184331372644593,0.8937109925388206,5461.765779068912,6608.89138737956
M1:198,M1,198,QNM11,quarterly,4,34,8,aeon,ok,0.002663399965967983,"[575211.5202950436, 561915.4835136087, 571086.9129950604, 551114.9759448535, 582758.7416041646, 569631.4360620542, 578713.8220171693, 558860.0883543922]","[548596.0, 572670.0, 592558.0, 561684.0, 615553.0, 615895.0, 612695.0, 654950.0]",P,1.8,1.0060872025930112,0.010001386500112066,,43022984039.77603,,True,5.879696073295743,0.5867267523159796,34817.38247546757,43302.03474032518
